Audio file,Start,End,Text Full Verbatim,Text Clean Verbatim
Hari Minggoean_003,0:04:58,0:06:38,"karena dengan pengetahuan itu kita jadi kayak punya ilusi kalau kita mengenal atau tau persis sifat-sifat manusia itu kayak gimana dengan lebel-lebel tertentu tadi yang kenyataannya manusia itu kompleks dan aku gak bilang ya ini sepenuhnya jelek contohnya Buat diri sendiri aja dulu deh Aku rasa kita tuh lebih baik bisa mengenal diri kita Walaupun bisa jadi dasarnya kita mengenal diri itu sekadar fantasi Daripada kita gak bisa sama sekali mengenal diri kita Tapi tetep ya, itu tuh bukan kondisi yang ideal butuh waktu yang panjang untuk bisa mengenal diri sendiri harus punya kesediaan untuk berkontemplasi harus punya kebesaran hati buat ngelakuin kalau bisa aja yang kita lakuin itu salah dan itu semua bukan proses yang gampang dan belum tentu kita bisa tau bener-bener diri kita tuh seperti apa atau apa atau siapa aku dan kita semua yang masih muda ini gak boleh berhenti buat nyari hati diri pengalaman kita jelas masih minim aku yang ngomong gini masih banget ada salahnya jadi teman-teman semua dan untukku juga terus buka mata untuk belajar, merasakan, dan memahami Nah, kejadian lain lagi, di sela-sela waktu nunggu untuk perpanjang sim tadi, aku dapet berita kalau aku jadi ngajar nari lagi di salah satu SMP swasta di Jogja.",
Hari Minggoean_003,0:06:38,0:06:48,"Konteksnya, beberapa hari yang lalu, aku tuh sempet dikontak untuk bantu, tapi nggak ada kabar sampai akhirnya follow up.",
Hari Minggoean_003,0:06:48,0:06:50,Jadi nggak nih? ke teman.,
Hari Minggoean_003,0:06:50,0:06:55,Tapi kata dia nggak ada jauhan dari pihak sekolahnya.,
Hari Minggoean_003,0:06:55,0:06:59,"Jadi karena itu sebenarnya udah agak lama kan, hampir semingguan.",
Hari Minggoean_003,0:06:59,0:07:01,"Eh, nggak jadi deh.",
Hari Minggoean_003,0:07:01,0:07:08,"Tapi pas denger berita tadi itu, kalau misalnya proyek ngajar ini bener-bener jadi, aku seneng.",
Hari Minggoean_003,0:07:08,0:07:15,"Tapi sekaligus, karena belum nyiapin apa-apa soal materi kirakannya, Aku jadi agak panik.",
Hari Minggoean_003,0:07:15,0:07:24,"Lah, dari situ aku mikir, daripada duduk lama-lama nggak ngapa-ngapain, coba deh bikin konsep gerapan di situ.",
Hari Minggoean_003,0:07:24,0:07:34,"Waduh sih, sambil duduk-duduk banyak orang yang ngantri, pada bosan juga kan, pada ngeliatin HP, pada ngeliatin TV dengan tatapan kosong gitu.",
Hari Minggoean_003,0:07:34,0:07:39,"Nah, aku di cari, pokoknya cari posisi yang di pojokan.",
Hari Minggoean_003,0:07:39,0:07:56,tangan sama kepala itu gerak-gerak sendiri gerak-gerak nari kayak orang kesurupan kalau dibilang malu ya malu sih dan tetap aja kayaknya ada yang ngeliatin dan mungkin beberapa dari mereka juga ada yang ngebadit ini orang kenapa?,
Hari Minggoean_003,0:07:56,0:08:43,"nah sampe sempet juga tuh aku ditegor sama pak polisinya tapi untungnya gak lama dari itu nama ku dipanggil dan urusan ku disana kelar tuh kan aku dikasih taunya pas bikin SIM kan eh bikin pemperpanjang SIM ya hari Selasa itu di hari jumat di minggu yang sama aku mulai latihan sama anak-anak itu dia sampe itu kurang lebih aku bakal ngejar mereka selama 2 bulan dan bakal ada banyak ceritaku soal ngajar disitu tapi aku gak bakal cerita banyak dulu soal ngejar-ngejar itu sekarang kayak karena masih ada anak mata adik, ya jangan kayak masih anak mata adik, cerita-cerita ini bakal masih banyak tunggu aja di episode-episode yang berikutnya ya Nah, itu tadi.",
Hari Minggoean_003,0:08:43,0:08:47,"Terus, di minggu ini, aku juga berkenalan lagi.",
Hari Minggoean_003,0:08:47,0:08:49,"Atau, bukan-bukan berkenalan, ya.",
Hari Minggoean_003,0:08:49,0:08:53,"Aku mau memakai dengan lebih intense, pakai AI.",
Hari Minggoean_003,0:08:53,0:08:54,"Ya, bukan AI, sih.",
Hari Minggoean_003,0:08:54,0:08:57,"Sebenarnya cuma, AI-AI kan banyak, ya.",
Hari Minggoean_003,0:08:57,0:08:59,Aku lebih sering pakai Chat GPT di sini.,
Hari Minggoean_003,0:08:59,0:09:04,"Dulu udah sempet coba-coba pakai Chat GPT, sih.",
Hari Minggoean_003,0:09:04,0:09:11,"Tapi karena cuma sekedar nyoba doang, dan nggak ada kebutuhan yang spesifik yang mendesak, jadinya tuh bingung.",
Hari Minggoean_003,0:09:11,0:10:26,"apa gitu yang harus di eksplore nah, di minggu ini aku juga pake Chat GPT buat urusan desain terutama desain soal podcast ini nah, aku tuh sebenernya gak bisa desain, gak punya sense untuk seni rupa, untuk membuat ilustrasi atau apapun terutama soal warna dan kombinasi warna sense ku gak keasah sama sekali di bidang gini tapi ya karena aku buat siniar ini sendirian mau gak mau ya tetap harus belajar lah ya jadi aku putusin bikin desain yang simpel yang dari segi komposisi itu ya loter belakang desainnya polos aja dan isinya cuma tulisan doang sama logo paling mentok semuanya ada ada gambar-gambar ilustrasi dikit yang default yang bisa dicari dari canva lah dan untuk warnanya aku cari satu warna background dan warnanya satu lagi jadi aku pakai dua yang kontras sama warna background itu untuk tulisannya nah Chat GPT ini Pertama, itu aku buat cari color palette yang aku pengen.",
Hari Minggoean_003,0:10:26,0:10:28,Aku cari warna-warna pastel waktu itu.,
Hari Minggoean_003,0:10:28,0:10:32,"Aku cari warna pastel, kayak promnya itu kayak semacam.",
Hari Minggoean_003,0:10:32,0:10:39,Berikan aku 5 warna pastel biru atau coklat atau merah dan segala sebagainya.,
Hari Minggoean_003,0:10:39,0:10:45,"Aku ngumpulin beberapa, aku taruh di kanva kan buat naruh kode-kode warnanya.",
Hari Minggoean_003,0:10:45,0:10:47,Itu udah didapet.,
Hari Minggoean_003,0:10:47,0:10:52,"Begitu aku pengen bikin desain, aku pilih satu warna pastelnya buat jadi latar belakang.",
Hari Minggoean_003,0:10:52,0:10:53,Tak!,
Hari Minggoean_003,0:10:53,0:11:24,"Udah dapet kode yang buat latar belakang itu Aku kasih ke ChatGPT Minta tolong, dengan kode warna ini sebagai latar belakang Aku pengen dikasih warna tulisan Untuk tulisan yang kontras sama warna ini Terus dia dikasih, diaplikasiin Ya, dibilang bagus Nggak bagus-bagus banget sih, tapi paling nggak kontras lah.",
Hari Minggoean_003,0:11:24,0:11:28,"Nggak terlalu mencolok, kebaca, dan itu yang paling penting.",
Hari Minggoean_003,0:11:28,0:11:36,"Abis itu udah dapet kodenya, didesain, butuh tulisannya apa aja, blablabla, tek, terus selesai.",
Hari Minggoean_003,0:11:36,0:11:42,"Kalau generasi X sama Millenial, mau tanya sesuatu kan biasanya pergi k Mbah Google.",
Hari Minggoean_003,0:11:42,0:11:45,"Nah, kalau kita sekarang larinya ke Lik GPT.",
Hari Minggoean_003,0:11:45,0:11:50,"Pak Lik kita ini kan lebih muda ya daripada simbah, dan lebih pintar juga, bisa lebih satset.",
Hari Minggoean_003,0:11:50,0:11:59,"Jadi kalau kita mau tanya hal-hal yang lebih spesifik, Lik GPT bisa kasih jawaban yang lebih pas, yang lebih kita pengenin.",
Hari Minggoean_003,0:11:59,0:12:13,"Dan dulu pas awal-awal diperkenalkan istilah AI atau ya chat GPT lah, kita mungkin timbul rasa khawatir kalau nanti si teknologi ini pada akhirnya akan mengambil alih pekerjaan kita.",
Hari Minggoean_003,0:12:13,0:12:25,"Tapi ya setelah minggu ini aku intans pakai chat GPT, aku sadar, Paklik kita ini nggak bakal semudah itu buat ngambil alih seluruh pekerjaan kita.",
Hari Minggoean_003,0:12:25,0:12:29,AI pada umumnya nggak bisa sepenuhnya menggantikan pekerjaan.,
Hari Minggoean_003,0:12:29,0:12:33,"Sebaliknya, teknologi ini bisa ngebuat kita bisa lebih produktif.",
Hari Minggoean_003,0:12:33,0:12:40,AI bisa ngebantu kita dalam pekerjaan yang tuntutannya kuantitas sebanyak mungkin dalam waktu yang terbatas.,
Hari Minggoean_003,0:12:40,0:12:47,"Kalau tuntutannya kualitas, ya seenggak-enggaknya AI nggak bisa menggantikan kita dalam waktu dekat.",
Hari Minggoean_003,0:12:47,0:12:53,Untuk sekarang memenuhi tingkat kualitas tertentu masih butuh campur tangan kita sebagai manusia.,
Hari Minggoean_003,0:12:53,0:12:58,Kita manusia punya perasaan dan kita punya visi untuk memandang jauh ke depan.,
Hari Minggoean_003,0:12:58,0:13:02,Ini yang menurutku AI masih bisa belum capai.,
Hari Minggoean_003,0:13:02,0:13:09,Aku rasa segitu dulu aja cerita untuk minggu ini.,
Hari Minggoean_003,0:13:09,0:13:17,"Yang terakhir, kalau ada satu kata yang bisa merangkum minggu ini, itu adalah kata decent.",
Hari Minggoean_003,0:13:17,0:13:21,Decent kalau diartiin sebenarnya artinya layak.,
Hari Minggoean_003,0:13:21,0:13:27,"Tapi di sini aku pengen ngartiinnya dengan kata cukup atau enough, good enough.",
Hari Minggoean_003,0:13:27,0:13:33,"Mungkin ada beberapa hal yang bisa diimprove, bisa jadi lebih bagus lagi.",
Hari Minggoean_003,0:13:33,0:13:36,Tapi ya nggak usah dibayang-bayangi lagi lah.,
Hari Minggoean_003,0:13:36,0:13:39,"Nggak usah diharap-harapin, cukup aja.",
Hari Minggoean_003,0:13:39,0:13:43,Mencoba berdamai dengan apa yang udah dicapai sekarang.,
Hari Minggoean_003,0:13:43,0:13:48,Biar nanti dari titik ini ke masa depan bisa lebih baik lagi.,
Hari Minggoean_003,0:13:48,0:13:51,"Nah, itu cerita aku.",
Hari Minggoean_003,0:13:51,0:13:53,Sekarang gantian giliranmu.,
Hari Minggoean_003,0:13:53,0:14:00,Apa ceritamu minggu ini?,
Hari Minggoean_003,0:14:00,0:14:03,Terima kasih yang sudah mau dengerin sampai akhir.,
Hari Minggoean_003,0:14:03,0:14:07,Kita ketemu lagi di episode Siniar Hari Minggoean selanjutnya.,
Hari Minggoean_003,0:14:07,0:14:10,Bye-bye!,
